"zone","year","total_area","protected_area","proportion"
"Northern Arctic",2020,2838168.81297143,119672.559861726,0.0421654128939687
"Arctic Cordillera",2020,340738.021367293,64241.5954166895,0.188536621651158
"Southern Arctic",2020,1683288.29643339,157138.540347166,0.0933521255272291
"Taiga Cordillera",2020,266971.701260734,46369.9143665693,0.173688500120404
"Taiga Plain",2020,657947.241250272,98761.1889329481,0.150105027791098
"Taiga Shield",2020,1453301.28643214,188097.733148753,0.12942789971
"Boreal Cordillera",2020,470758.324411653,86441.4868313815,0.18362179137122
"Boreal PLain",2020,740692.509798947,79150.0620561381,0.106859541589833
"Pacific Maritime",2020,251088.06506179,51508.9739331098,0.205143059748515
"Boreal Shield",2020,2079905.16734016,217595.489087543,0.104617985716056
"Hudson Plain",2020,448432.334311615,55908.2182945355,0.124674814942504
"Montane Cordillera",2020,489976.839423265,106887.951293106,0.218148987243806
"Prairie",2020,467029.183116209,19415.9606518627,0.0415733349301889
"Atlantic Maritime",2020,282967.7171891,14466.2124711378,0.0511231903583913
"MixedWood Plain",2020,169262.118986414,2782.8526581312,0.0164410836564947
"Northern Arctic",2021,2838168.81297143,119672.559861726,0.0421654128939687
"Arctic Cordillera",2021,340738.021367293,64241.5954166895,0.188536621651158
"Southern Arctic",2021,1683288.29643339,157138.540347166,0.0933521255272291
"Taiga Cordillera",2021,266971.701260734,70042.9058691427,0.262360787822738
"Taiga Plain",2021,657947.241250272,111609.279560251,0.169632567116118
"Taiga Shield",2021,1453301.28643214,188097.733148753,0.12942789971
"Boreal Cordillera",2021,470758.324411653,86476.7653985488,0.183696731240231
"Boreal PLain",2021,740692.509798947,82897.3196149467,0.111918668702952
"Pacific Maritime",2021,251088.06506179,51515.2916766191,0.20516822121331
"Boreal Shield",2021,2079905.16734016,225582.353171391,0.108457999294205
"Hudson Plain",2021,448432.334311615,55908.405389165,0.124675232161814
"Montane Cordillera",2021,489976.839423265,106897.566362516,0.218168610761974
"Prairie",2021,467029.183116209,30216.1051109426,0.0646985374860913
"Atlantic Maritime",2021,282967.7171891,14757.6655968351,0.0521531775547841
"MixedWood Plain",2021,169262.118986414,3098.5060930867,0.0183059630332017
"Northern Arctic",2022,2838168.81297143,119672.559861726,0.0421654128939687
"Arctic Cordillera",2022,340738.021367293,64241.5954166895,0.188536621651158
"Southern Arctic",2022,1683288.29643339,157151.942177415,0.0933600872235576
"Taiga Cordillera",2022,266971.701260734,70042.9058691427,0.262360787822738
"Taiga Plain",2022,657947.241250272,111609.279560251,0.169632567116118
"Taiga Shield",2022,1453301.28643214,188097.733148753,0.12942789971
"Boreal Cordillera",2022,470758.324411653,86476.7653985488,0.183696731240231
"Boreal PLain",2022,740692.509798947,82916.0467978847,0.111943952046162
"Pacific Maritime",2022,251088.06506179,51655.0515537481,0.205724838179929
"Boreal Shield",2022,2079905.16734016,228250.941834456,0.109741033109865
"Hudson Plain",2022,448432.334311615,55908.405389165,0.124675232161814
"Montane Cordillera",2022,489976.839423265,106902.570917603,0.218178824622476
"Prairie",2022,467029.183116209,30221.5524408099,0.0647102012751309
"Atlantic Maritime",2022,282967.7171891,18536.8977891489,0.0655088784448199
"MixedWood Plain",2022,169262.118986414,3195.25186147267,0.0188775366904696
"Northern Arctic",2023,2838168.81297143,119672.559861726,0.0421654128939687
"Arctic Cordillera",2023,340738.021367293,64241.5954166895,0.188536621651158
"Southern Arctic",2023,1683288.29643339,159446.678652224,0.0947233334836729
"Taiga Cordillera",2023,266971.701260734,76220.1237980718,0.285498887852659
"Taiga Plain",2023,657947.241250272,111609.279560251,0.169632567116118
"Taiga Shield",2023,1453301.28643214,188097.733148753,0.12942789971
"Boreal Cordillera",2023,470758.324411653,86476.7653985488,0.183696731240231
"Boreal PLain",2023,740692.509798947,83406.059887855,0.112605512793014
"Pacific Maritime",2023,251088.06506179,51870.1257178916,0.206581406826832
"Boreal Shield",2023,2079905.16734016,230005.105287918,0.110584419376223
"Hudson Plain",2023,448432.334311615,55908.405389165,0.124675232161814
"Montane Cordillera",2023,489976.839423265,107623.614428331,0.219650411548047
"Prairie",2023,467029.183116209,30549.9111232471,0.0654132808562532
"Atlantic Maritime",2023,282967.7171891,19876.8753006169,0.0702443215009353
"MixedWood Plain",2023,169262.118986414,3529.26099974136,0.0208508614973952
